陕西电信-组播1,#genre#
江苏卫视,http://117.39.32.18:4022/rtp/239.112.205.63:5140
北京卫视,http://ipip/udp/239.109.205.162:8898
北京卫视,http://117.39.32.18:4022/rtp/239.112.205.65:5140
东方卫视,http://ipip/udp/239.109.205.121:8904
东方卫视,http://117.39.32.18:4022/rtp/239.112.205.61:5140
安徽卫视,http://ipip/udp/239.110.205.11:9790
安徽卫视,http://117.39.32.18:4022/rtp/239.112.205.72:5140
广东卫视,http://ipip/udp/239.109.205.188:9610
广东卫视,http://117.39.32.18:4022/rtp/239.112.205.66:5140
深圳卫视,http://ipip/udp/239.109.205.189:9602
深圳卫视,http://117.39.32.18:4022/rtp/239.112.205.67:5140
辽宁卫视,http://ipip/udp/239.110.205.12:9794
辽宁卫视,http://117.39.32.18:4022/rtp/239.112.205.73:5140
海南卫视-标清,http://ipip/udp/239.109.205.41:8256
海南卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.50:5140
山东卫视,http://ipip/udp/239.109.205.191:9606
山东卫视,http://117.39.32.18:4022/rtp/239.112.205.70:5140
天津卫视,http://ipip/udp/239.110.205.23:9838
天津卫视,http://117.39.32.18:4022/rtp/239.112.205.74:5140
重庆卫视,http://ipip/udp/239.109.205.70:8496
重庆卫视,http://117.39.32.18:4022/rtp/239.112.205.179:5140
东南卫视,http://ipip/udp/239.109.205.177:9626
东南卫视,http://117.39.32.18:4022/rtp/239.112.205.182:5140
甘肃卫视,http://ipip/udp/239.110.205.122:7788
甘肃卫视,http://117.39.32.18:4022/rtp/239.112.205.48:5140
广西卫视-标清,http://ipip/udp/239.109.205.39:8240
广西卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.51:5140
贵州卫视,http://ipip/udp/239.109.205.139:9024
贵州卫视,http://117.39.32.18:4022/rtp/239.112.205.178:5140
河北卫视,http://ipip/udp/239.109.205.158:9106
河北卫视,http://117.39.32.18:4022/rtp/239.112.205.200:5140
黑龙江卫视,http://ipip/udp/239.109.205.190:9604
黑龙江卫视,http://117.39.32.18:4022/rtp/239.112.205.68:5140
河南卫视,http://ipip/udp/239.109.205.140:9026
河南卫视,http://117.39.32.18:4022/rtp/239.112.205.180:5140
湖北卫视,http://ipip/udp/239.109.205.165:9006
湖北卫视,http://117.39.32.18:4022/rtp/239.112.205.69:5140
江西卫视,http://ipip/udp/239.109.205.96:8704
江西卫视,http://117.39.32.18:4022/rtp/239.111.205.16:5140
吉林卫视,http://ipip/udp/239.109.205.115:8856
吉林卫视,http://117.39.32.18:4022/rtp/239.112.205.183:5140
内蒙古卫视-标清,http://ipip/udp/239.109.205.46:8304
内蒙古卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.55:5140
宁夏卫视-标清,http://ipip/udp/239.109.205.126:8944
宁夏卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.49:5140
山西卫视-标清,http://ipip/udp/239.109.205.26:8136
山西卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.46:5140
陕西卫视,http://ipip/udp/239.109.205.66:8464
陕西卫视,http://117.39.32.18:4022/rtp/239.111.205.35:5140
四川卫视,http://ipip/udp/239.110.205.18:9818
四川卫视,http://117.39.32.18:4022/rtp/239.112.205.184:5140
新疆卫视-标清,http://ipip/udp/239.110.205.13:9798
新疆卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.56:5140
云南卫视-标清,http://ipip/udp/239.110.205.15:9806
青海卫视-标清,http://ipip/udp/239.109.205.44:8288
兵团卫视-标清,http://ipip/udp/239.109.205.86:8624
兵团卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.198:5140
厦门卫视-标清,http://ipip/udp/239.110.205.21:9830
厦门卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.60:5140
西藏卫视-标清,http://ipip/udp/239.109.205.45:8296
西藏卫视-标清,http://117.39.32.18:4022/rtp/239.112.205.54:5140
三沙卫视-标清,http://ipip/udp/239.110.205.100:7876
凤凰卫视-中文台,http://ipip/udp/239.110.205.103:7864
凤凰卫视-资讯台,http://ipip/udp/239.110.205.114:7820
陕西1套-新闻资讯,http://ipip/udp/239.111.205.28:5140
陕西2套-体育休闲,http://ipip/udp/239.111.205.36:5140
陕西3套-生活,http://ipip/udp/239.111.205.98:5140
陕西3套-生活,http://117.39.32.18:4022/rtp/239.112.205.20:5140
陕西4套-影视,http://ipip/udp/239.111.205.99:5140
陕西4套-影视,http://117.39.32.18:4022/rtp/239.112.205.21:5140
陕西5套-公共,http://ipip/udp/239.111.205.100:5140
陕西5套-公共,http://117.39.32.18:4022/rtp/239.112.205.22:5140
陕西6套-乐家购物,http://ipip/udp/239.111.205.101:5140
陕西7套-都市青春,http://ipip/udp/239.111.205.42:5140
陕西7套-都市青春,http://117.39.32.18:4022/rtp/239.111.205.42:5140
陕西8套-西部电影,http://ipip/udp/239.111.205.102:5140
陕西8套-西部电影,http://117.39.32.18:4022/rtp/239.111.205.41:5140
西安1套-新闻综合,http://ipip/udp/239.109.205.130:8976
西安1套-新闻综合,http://117.39.32.18:4022/rtp/239.111.205.242:5140
西安2套-都市频道,http://ipip/udp/239.109.205.131:8984
西安2套-都市频道,http://117.39.32.18:4022/rtp/239.111.205.243:5140
西安3套-商务资讯,http://ipip/udp/239.110.205.38:9858
西安3套-商务资讯,http://117.39.32.18:4022/rtp/239.112.205.174:5140
西安4套-戏剧影视,http://ipip/udp/239.110.205.39:9862
西安4套-戏剧影视,http://117.39.32.18:4022/rtp/239.112.205.175:5140
农林卫视,http://ipip/udp/239.109.205.133:8998
农林卫视,http://117.39.32.18:4022/rtp/239.112.205.27:5140
家有购物,http://ipip/udp/239.110.205.31:9788
丝路频道,http://ipip/udp/239.110.205.40:9866
丝路频道,http://117.39.32.18:4022/rtp/239.112.205.176:5140
西安教育台,http://ipip/udp/239.110.205.24:9842
西安教育台,http://117.39.32.18:4022/rtp/239.112.205.142:5140
咸阳综合,http://117.39.32.18:4022/rtp/239.112.205.144:5140
宝鸡综合,http://ipip/udp/239.109.205.93:8680
宝鸡综合,http://117.39.32.18:4022/rtp/239.112.205.146:5140
汉中新闻综合,http://ipip/udp/239.109.205.149:9082
渭南综合,http://ipip/udp/239.109.205.150:9086
安康新闻综合,http://ipip/udp/239.109.205.151:9090
榆林综合,http://ipip/udp/239.109.205.152:9094
延安综合,http://ipip/udp/239.109.205.154:9102
环球购物,http://ipip/udp/239.110.205.32:9792
